"","SPX","NKY","KOSPI","HSI","TWSE","UKX","AS51"
"2022-01-03",8.31638237497637e-05,0.000102113453117474,7.63651976044294e-05,0.000102911357459221,4.39477031789316e-05,5.62050410419072e-05,5.23396216754508e-05
"2022-01-04",7.48035802928368e-05,0.00011458444480309,7.15855871764473e-05,9.67910404950849e-05,5.16907743530821e-05,6.94798187230434e-05,7.33273532338213e-05
"2022-01-05",0.000107368998171775,0.000105253755684637,7.90456117886208e-05,0.000109694855657898,4.93113676302398e-05,6.66509948852376e-05,6.74837928092343e-05
"2022-01-06",9.70774270214169e-05,0.000139380623346457,7.59156948272167e-05,0.000118256065339968,4.7015740751053e-05,6.16938225891863e-05,0.000104573238114413
"2022-01-07",9.01607596229609e-05,0.000127726331923735,7.96647341259914e-05,0.000131928946099837,5.31543733293127e-05,5.70655067555646e-05,0.000102573407455171
"2022-01-10",8.11245372493898e-05,0.000117208054592304,7.87682724272113e-05,0.00013628204387572,5.14662339752625e-05,5.3301580946368e-05,9.37402765916014e-05
"2022-01-11",8.14350289319139e-05,0.00011208607997966,7.35413566822053e-05,0.000127288807380456,4.96498649432399e-05,5.17815019740442e-05,8.91558744957277e-05
"2022-01-12",7.41678900887911e-05,0.000117563595903299,7.70432305649222e-05,0.000153003208856527,4.74136589624553e-05,5.06936427651096e-05,8.14576632119515e-05
"2022-01-13",8.88322705671067e-05,0.00011682849003909,7.350792978836e-05,0.000142403169637541,4.52316450554045e-05,4.74295861096797e-05,7.5734351816869e-05
"2022-01-14",7.97633760926359e-05,0.000112344428034137,7.47270614511414e-05,0.000133987911530384,4.36805418503949e-05,4.44946373310026e-05,7.1876500043008e-05
"2022-01-18",0.000111254797333054,0.000104078200678207,0.000104571444838612,0.000135969572482368,4.18944306096252e-05,4.14952489649399e-05,6.58424779161265e-05
"2022-01-19",0.000113450905555246,0.000134327386586913,9.74400040880989e-05,0.000132197958177027,4.03860964938745e-05,4.78839947528187e-05,6.21981300367413e-05
"2022-01-20",0.00011817373222265,0.000134814333445987,9.65836946074463e-05,0.000216245630882541,3.88514493692017e-05,4.49567233679934e-05,5.74528832622614e-05
"2022-01-21",0.000149702719158641,0.00012356944468655,9.22193971168399e-05,0.000205567639804454,5.40574019952721e-05,4.84770526462919e-05,8.30965759312207e-05
"2022-01-24",0.000133125883476301,0.000124707008009887,9.150776128502e-05,0.000191958022462004,5.79087110514616e-05,9.42666860023168e-05,7.60679068495534e-05
"2022-01-25",0.000135837458332436,0.000128908403109374,0.000129987368518429,0.000193676217486815,6.82928036331247e-05,8.75456892712448e-05,0.000114466512105392
"2022-01-26",0.000122386990534662,0.000119837185697448,0.000121701797650192,0.000179835563478967,6.47101342966726e-05,0.000108506045769098,0.000104755348343229
"2022-01-27",0.00011270502252534,0.000219268644924676,0.000220979894893325,0.000201160001364881,6.13582815054805e-05,0.000116355917993939,0.000128508958882854
"2022-01-28",0.000157903407477777,0.000223295318519281,0.000225079705025678,0.00019952620025879,5.83910070630894e-05,0.000113406546598631,0.000144102200989506
"2022-01-31",0.000187953428633814,0.000204733011049664,0.000209889324660119,0.000185473895456515,5.74044540983691e-05,0.000110495686508589,0.000132501205127295
"2022-02-01",0.000173765225005972,0.000186796925469417,0.000197502836597965,0.000175904533573808,5.72237313551186e-05,0.000101519049587733,0.000120577659369549
"2022-02-02",0.000164837973375682,0.000183676168541104,0.000183675331198939,0.000164431643474139,5.48209147948835e-05,9.57286447920518e-05,0.000115762009967086
"2022-02-03",0.000207292517210035,0.000183967773196602,0.000184099160243722,0.000153598220277755,5.27354516242504e-05,9.38821108970214e-05,0.000106341045607604
"2022-02-04",0.000184174184630675,0.000198924313585677,0.000219378909796908,0.000278755713973176,5.41111409608706e-05,8.82346759699331e-05,0.000116572700719994
"2022-02-07",0.000164545789662996,0.000184874002169925,0.000203421642424954,0.000257618908660402,5.75699727441328e-05,8.34389303431838e-05,0.000106191250770438
"2022-02-08",0.000152381557007279,0.000167569200412058,0.000188205411314135,0.000245215715934309,5.61528808881325e-05,7.65903669405444e-05,0.000106014348467757
"2022-02-09",0.000160394967205196,0.000158221024821976,0.000176926445398219,0.000248219771422665,5.83810545468531e-05,7.5377472178376e-05,0.000105850043202734
"2022-02-10",0.000173283503403595,0.00014425906762094,0.000165268268126216,0.000229660946814025,5.69254413238398e-05,6.92522703482149e-05,9.65409011387061e-05
"2022-02-11",0.000202003383025492,0.000137476662223973,0.000153706889407033,0.000217056532957868,5.51124497593502e-05,6.61609306567423e-05,8.91692509869065e-05
"2022-02-14",0.000183203690238621,0.000144869761750163,0.000150097819841011,0.000203644755476748,6.14489693422412e-05,7.24713064107188e-05,8.73451213039866e-05
"2022-02-15",0.000188522015662116,0.000134080689630591,0.000142839545445294,0.00019097533033097,5.82984575488301e-05,7.27774158024563e-05,7.98119504010595e-05
"2022-02-16",0.000167547641903565,0.000135579423712276,0.000143645183084857,0.000178963681384577,6.20510079888466e-05,6.85152102252592e-05,7.35635694117421e-05
"2022-02-17",0.000199438949138935,0.000126641822826131,0.000136229033643459,0.000168167016114085,5.90330749941713e-05,6.95905192865663e-05,6.85121256159429e-05
"2022-02-18",0.00018644212839898,0.000119931025280948,0.000132398994392116,0.000161140629047943,5.77464833266562e-05,6.44268704583746e-05,6.29786690717079e-05
"2022-02-22",0.000180668396347325,0.000158439203864237,0.000133908710866674,0.000229484791059369,6.39418865520804e-05,5.93967166098221e-05,6.26859633768523e-05
"2022-02-23",0.000204181161050752,0.00014430270379926,0.000128320836656449,0.000215485781112963,6.59120460131794e-05,5.56804554005918e-05,6.29526318102446e-05
"2022-02-24",0.000199440865838359,0.000140306221701575,0.000148952667424709,0.000240646436140644,8.90429790515088e-05,0.000148082566175264,0.000102920024459254
"2022-02-25",0.000228853028994224,0.000155032443998945,0.000143113698317931,0.000233396429527306,8.41115187694191e-05,0.000189147910371432,9.49872737617769e-05
"2022-02-28",0.000202662832045671,0.000159701127010397,0.000134254436499069,0.000240566998721195,8.54181097251286e-05,0.000172996634630815,8.98970091988836e-05
"2022-03-01",0.00020738798829147,0.000165143503578228,0.00012482792821795,0.000223724081619322,9.5485935534722e-05,0.000182039252607022,8.9718923045703e-05
"2022-03-02",0.000214448533675502,0.000152172543277396,0.000123561654270388,0.000210952870428372,9.15563818975664e-05,0.000186953851658972,9.46514482369434e-05
"2022-03-03",0.000191592124386835,0.000141596232394118,0.000118932645627564,0.000198990424391988,8.656674580611e-05,0.00024664290132369,8.7170913938972e-05
"2022-03-04",0.000178562309972403,0.000146753627462079,0.000113441261818516,0.000209472444409755,8.56287390777527e-05,0.000351576643316337,7.97329824803482e-05
"2022-03-07",0.000264416197147732,0.000178547540338084,0.000126471888939871,0.000278870376435344,0.000124988329753979,0.000323250759758298,7.37983974150084e-05
"2022-03-08",0.000245325873315173,0.000166926704513014,0.000117518480876543,0.000259824945863947,0.000125224196512422,0.000300339572189609,6.75837521486495e-05
"2022-03-09",0.000281002648512074,0.000152071059938278,0.000109268421159367,0.000243214108829214,0.000128724278493926,0.000374847222755587,7.1559284148761e-05
"2022-03-10",0.000248694610830198,0.000180471460340613,0.000107684862702551,0.000225702010839221,0.00013639556027392,0.000358464249017337,6.56214246689363e-05
"2022-03-11",0.000241142182945557,0.000176212195413802,0.000100502179151714,0.000214746312897662,0.000131635371505943,0.000328961808334334,6.12221044533259e-05
"2022-03-14",0.000222624383024653,0.000164457106136105,9.45020645474583e-05,0.000381472117478173,0.000124457065145596,0.000307165332366328,7.08327399367667e-05
"2022-03-15",0.00024184801501146,0.000151076937568595,9.15665929371655e-05,0.000610914530499561,0.00013179824677326,0.000277981554193806,6.61477502967006e-05
"2022-03-16",0.000271343140650332,0.000141134497099969,8.83600403789701e-05,0.000952743159722876,0.000124806091066395,0.000258374014793004,6.10897094123597e-05
"2022-03-17",0.000264401347639287,0.000187397341991133,8.41093920345508e-05,0.00117677396393072,0.000137650551907387,0.000239180830336099,5.6782626683097e-05
"2022-03-18",0.000251850839458044,0.000171086972329601,7.83428208700712e-05,0.00108232153745,0.000131837988381611,0.000216472004091036,5.2773760659325e-05
"2022-03-21",0.000222730581201069,0.000157316738554354,8.37900013438776e-05,0.00101001175058433,0.000124288199250549,0.000196387225078691,5.12513145777765e-05
"2022-03-22",0.000209695317530209,0.000160575585092848,8.28229061165462e-05,0.000995321657253256,0.000116858092881757,0.000180649858687153,5.1947492420315e-05
"2022-03-23",0.000199272416734745,0.000211195972358556,7.96973276680032e-05,0.000921939978897442,0.000111276309827922,0.000165947301715858,4.83147642765071e-05
"2022-03-24",0.000194228410977583,0.000204078295548725,7.52137512709889e-05,0.000847699352824429,0.000104884983611689,0.000152775721020459,4.86409512376033e-05
"2022-03-25",0.000176034766236566,0.000186738701187527,7.21237208056638e-05,0.000855940891487488,0.000100596337176805,0.000139224543212983,4.54265724439432e-05
"2022-03-28",0.000161653082363455,0.000178817062061074,6.77057065703976e-05,0.000792616382642804,0.000100646170714376,0.000127005625672415,4.2165257912177e-05
"2022-03-29",0.000161245645966568,0.000167973731607704,6.35330345763574e-05,0.000734510935093711,9.49361621687911e-05,0.00011844428014073,4.10782549674029e-05
"2022-03-30",0.000146228397730683,0.00016932831876566,5.99706576886429e-05,0.000681436271804629,9.19477716209253e-05,0.000108792628018156,3.87019981943739e-05
"2022-03-31",0.000158895787233586,0.000156856176169919,5.86040945595171e-05,0.000630805978357787,8.6779277807942e-05,0.000101677782627766,3.60770463883706e-05
"2022-04-01",0.00014139598085168,0.000143078373870295,5.48601938415496e-05,0.000586122002133615,8.2105987417083e-05,9.67514220130513e-05,3.61693150110848e-05
"2022-04-04",0.000133095361623245,0.000130442373966374,5.31225804780168e-05,0.000565706409964954,7.76806795120246e-05,8.87093669051209e-05,3.38103056814687e-05
"2022-04-05",0.000134296351381536,0.000119412950177079,5.025759784899e-05,0.000521228619668636,7.42936196927256e-05,8.32688251277584e-05,3.17056456034422e-05
"2022-04-06",0.000133081061073637,0.000121850326660178,4.94149689875487e-05,0.000495147667778692,7.07105046570905e-05,7.66686334309838e-05,3.00205885639386e-05
"2022-04-07",0.000119426923218273,0.000130430938787673,5.66216879923024e-05,0.000463498815089351,8.35295231195791e-05,7.07893398834062e-05,2.94443809391324e-05
"2022-04-08",0.000107280618916829,0.000119259237942279,5.30332851649793e-05,0.000427073032445805,8.04669088301473e-05,7.95545911995627e-05,2.81884467105861e-05
"2022-04-11",0.00012876865991579,0.000114483012327706,5.08049778681466e-05,0.000466186932942382,8.86294147792818e-05,7.36145065324442e-05,2.66075894263328e-05
"2022-04-12",0.000117914348336267,0.000115335940940119,4.84524565141567e-05,0.000438293087502566,8.42627360313664e-05,6.75921052509757e-05,2.56547394935826e-05
"2022-04-13",0.000117388151094077,0.000143567204437955,7.58267085411431e-05,0.000405414701326818,0.000103736148202016,6.21464623445377e-05,2.59942822212182e-05
"2022-04-14",0.000120433132888201,0.000138924764179318,7.16101904697204e-05,0.000374326896938052,0.000100344071957719,5.74126153376551e-05,2.54399347858395e-05
"2022-04-18",0.000107635154783669,0.000132230680296518,6.8409978921694e-05,0.000348030886812053,0.0001142542672347,5.54104763096141e-05,2.56845266695748e-05
"2022-04-19",0.000123915307023212,0.00012403210050526,7.07311425589902e-05,0.000363732591251755,0.000109096966311883,5.15628242954056e-05,2.65621343923877e-05
"2022-04-20",0.000110512140592168,0.000114190854382657,6.79994962016814e-05,0.000346373939910956,0.000104808681042942,4.79094051952342e-05,2.61883900493023e-05
"2022-04-21",0.000124496826362286,0.000119816872156006,6.42740829395768e-05,0.000331350388504519,9.87514488114297e-05,4.44966340863057e-05,2.5493860384349e-05
"2022-04-22",0.000207989504178007,0.000116809000202662,6.08550921930106e-05,0.00030707126048949,9.31408444596692e-05,4.80006938342963e-05,3.34669160246997e-05
"2022-04-25",0.000184799950110691,0.000111030083256995,6.1379206083254e-05,0.000331432727834527,0.000102647934514204,5.9571303328015e-05,3.7642838164271e-05
"2022-04-26",0.000250259793500421,0.000103000693526252,5.88589644355516e-05,0.000305891155261659,9.70095419538743e-05,5.6630365696553e-05,7.13007050932656e-05
"2022-04-27",0.000221721154914535,9.48930551799476e-05,5.56684884940183e-05,0.000292661020317213,0.000103086313185493,6.97784554414103e-05,6.57244352524579e-05
"2022-04-28",0.000260707410512173,0.000105759685800561,5.77440597188596e-05,0.000283395697537388,9.87029004627123e-05,7.47575745328381e-05,6.81157977329962e-05
